id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
Q7KZI7	116	105	788	0	68.15%	99%
Q96L34	116	105	752	0	53.32%	94%
Q9QYJ6	117	20	794	1	100	100%
Q9Y233	117	20	779	0	94.22%	98%
P42229	118	2	794	1	100	100%
P51692	118	2	787	0	93.14%	99%
P23921	119	5	792	1	100	100%
P05106	120	1	788	1	100	100%
Q99835	121	1	787	1	100	100%
Q9UQ88	122	287	783	1	100	100%
Q00526	122	287	305	0	45.90%	38%
P11802	122	287	303	0	40.26%	38%
P24941	122	287	298	0	44.63%	38%
P61075	122	287	288	0	43.40%	36%
P06537	123	8	783	1	100	100%
P04150	123	8	777	0	90.09%	99%
P35222	124	1	781	1	100	100%
Q96JM7	125	5	780	1	100	100%
Q8TDC3	126	50	778	1	100	100%
Q8IWQ3	126	50	736	0	59.51%	94%
P15379	127	12	778	1	100	100%
P16070	127	12	742	0	51.75%	95%
Q86UE8	128	43	772	1	100	100%
Q9UKI8	128	43	766	0	65.80%	99%
P05067	129	13	770	1	100	100%
P40763	130	43	770	1	100	100%
P42227	130	43	770	0	99.87%	100%
P42224	130	43	750	0	52.40%	97%
P15056	131	562	766	1	100	100%
P04049	131	562	648	0	56.48%	84%
Q8N568	132	53	766	1	100	100%
O15075	132	53	740	0	69.05%	96%
P27487	133	23	766	1	100	100%
Q8NFD2	134	41	765	1	100	100%
Q9NRH2	135	5	765	1	100	100%
P11387	136	4	765	1	100	100%
Q13627	137	83	763	1	100	100%
Q9Y463	137	83	629	0	62.96%	82%
Q13237	138	20	762	1	100	100%
P03428	139	24	759	1	100	100%
P10636	140	6	758	1	100	100%
O14920	141	31	756	1	100	100%
O15111	141	31	745	0	51.68%	98%
Q04609	142	7	750	1	100	100%
P47712	143	1	749	1	100	100%
Q96EB6	144	3	747	1	100	100%
Q15910	145	2	746	1	100	100%
P05164	146	4	745	1	100	100%
Q9UK32	147	241	745	1	100	100%
P51812	147	241	740	0	77.57%	99%
Q15418	147	241	735	0	73.61%	98%
Q15349	147	241	733	0	74.35%	98%
P23443	147	241	525	0	40.95%	70%
Q05823	148	2	741	1	100	100%
Q02156	149	114	737	1	100	100%
Q04759	149	114	706	0	40.51%	95%
P24723	149	114	683	0	44.07%	92%
P05771	149	114	671	0	40.09%	91%
Q9NY33	150	1	737	1	100	100%
P70605	151	38	732	1	100	100%
Q9H2S1	151	38	579	0	70.81%	79%
Q92952	151	38	543	0	66.85%	74%
Q9UHD2	152	70	729	1	100	100%
Q14164	152	70	716	0	49.30%	98%
P14210	153	1	728	1	100	100%
P9WH75	154	2	725	1	100	100%
P27986	155	3	724	1	100	100%
Q16659	156	36	721	1	100	100%
P31152	156	36	587	0	55.20%	81%
Q9P286	157	86	719	1	100	100%
Q9NQU5	157	86	681	0	42.73%	94%
O96013	157	86	591	0	51.10%	82%
P03433	158	5	716	1	100	100%
P57058	159	19	714	1	100	100%
P51617	160	39	712	1	100	100%
P51574	161	3	710	1	100	100%
Q9JIP7	161	3	709	0	93.37%	99%
P46059	161	3	708	0	83.76%	99%
Q6P3R8	162	23	708	1	100	100%
P14780	163	3	707	1	100	100%
P08253	163	3	660	0	44.85%	93%
P48067	164	31	706	1	100	100%
P28572	164	31	638	0	94.20%	90%
P31652	164	31	630	0	40.32%	89%
P23975	164	31	617	0	41.00%	87%
P41182	165	33	706	1	100	100%
Q12931	166	3	704	1	100	100%
P05129	167	26	697	1	100	100%
P17252	167	26	672	0	72.62%	96%
Q4VA93	167	26	672	0	72.17%	96%
O14640	168	23	695	1	100	100%
P51141	168	23	695	0	94.96%	100%
Q9NVM4	169	1	692	1	100	100%
Q00194	170	14	690	1	100	100%
P25098	171	8	689	1	100	100%
P78362	172	95	688	1	100	100%
Q96SB4	172	95	655	0	41.22%	95%
Q9UPE1	172	95	567	0	42.50%	82%
Q9NYY3	173	38	685	1	100	100%
Q9H4B4	173	38	646	0	43.34%	94%
Q61091	174	1	685	1	100	100%
Q04451	175	1	680	1	100	100%
Q05655	176	57	676	1	100	100%
P28867	176	57	674	0	90.65%	99%
Q05320	177	8	676	1	100	100%
P51813	178	222	675	1	100	100%
Q06187	178	222	659	0	47.19%	97%
P42680	178	222	631	0	40.41%	93%
Q08881	178	222	620	0	42.58%	91%
Q8CFK4	178	222	608	0	40.30%	90%
P42681	178	222	527	0	45.16%	78%
Q9UBU7	179	3	674	1	100	100%
O43524	180	1	673	1	100	100%
Q13546	181	39	671	1	100	100%
Q13976	182	95	671	1	100	100%
P51817	182	95	358	0	42.18%	53%
P05132	182	95	351	0	41.88%	52%
P17612	182	95	351	0	41.88%	52%
P22694	182	95	351	0	42.17%	52%
O94925	183	7	669	1	100	100%
O60331	184	53	668	1	100	100%
Q99755	184	53	562	0	63.88%	84%
Q9AIU7	185	3	667	1	100	100%
P15884	186	1	667	1	100	100%
Q13470	187	55	666	1	100	100%
Q13554	188	105	666	1	100	100%
Q13557	188	105	499	0	64.73%	74%
Q9UQM7	188	105	478	0	64.02%	71%
P16050	189	2	662	1	100	100%
O60285	190	96	661	1	100	100%
Q9H093	190	96	628	0	49.04%	95%
P11021	191	66	654	1	100	100%
P19120	191	66	650	0	63.08%	99%
P11142	191	66	646	0	63.78%	98%
Q96IV0	192	1	654	1	100	100%
Q14680	193	44	651	1	100	100%
Q9NPI1	194	19	651	1	100	100%
Q9C098	195	49	648	1	100	100%
Q8NI60	196	51	647	1	100	100%
Q96D53	196	51	544	0	55.51%	84%
P53667	197	54	647	1	100	100%
P53671	197	54	638	0	54.23%	98%
P30291	198	60	646	1	100	100%
P0C1S8	198	60	567	0	45.86%	87%
Q8NG66	199	8	645	1	100	100%
P49761	200	273	638	1	100	100%
P49760	200	273	499	0	59.92%	78%
P49759	200	273	484	0	50.62%	75%
Q9HAZ1	200	273	481	0	54.26%	75%
P9WNS3	201	1	638	1	100	100%
O14744	202	4	637	1	100	100%
P43405	203	59	635	1	100	100%
O42275	204	146	633	1	100	100%
P22303	204	146	614	0	47.72%	96%
P21836	204	146	614	0	48.86%	96%
P37136	204	146	614	0	48.37%	96%
P06276	204	146	602	0	41.36%	95%
P04058	204	146	586	0	54.10%	92%
Q9UPZ9	205	31	632	1	100	100%
P20794	205	31	623	0	57.30%	98%
P31645	206	60	630	1	100	100%
Q01959	206	60	620	0	47.42%	98%
P23977	206	60	619	0	47.01%	98%
P23978	206	60	599	0	41.90%	95%
P30531	206	60	599	0	42.40%	95%
P09483	207	12	630	1	100	100%
P43681	207	12	627	0	84.21%	99%
P12389	207	12	511	0	58.32%	81%
P32297	207	12	505	0	52.08%	80%
P17787	207	12	502	0	46.41%	79%
P12390	207	12	500	0	46.40%	79%
P04757	207	12	499	0	52.51%	79%
Q9BQI3	208	6	630	1	100	100%
Q09013	209	42	629	1	100	100%
Q9RUB5	210	1	629	1	100	100%
Q07071	211	32	627	1	100	100%
Q14397	211	32	625	0	88.64%	99%
Q91X44	211	32	587	0	83.48%	93%
Q15569	212	31	626	1	100	100%
Q99759	213	69	626	1	100	100%
Q9Y2U5	213	69	619	0	66.24%	98%
P9WI81	214	18	626	1	100	100%
P20916	215	1	626	1	100	100%
O43187	216	1	625	1	100	100%
P03951	217	4	625	1	100	100%
Q14145	218	31	624	1	100	100%
Q9Z2X8	218	31	624	0	94.07%	100%
P29401	219	39	623	1	100	100%
P00734	220	51	622	1	100	100%
P43403	221	17	619	1	100	100%
Q13490	222	6	618	1	100	100%
Q13489	222	6	604	0	72.85%	97%
Q8NE63	223	43	616	1	100	100%
P27694	224	94	616	1	100	100%
O00255	225	10	615	1	100	100%
P20393	226	1	614	1	100	100%
P22460	227	41	613	1	100	100%
P22001	227	41	575	0	44.00%	93%
P17658	227	41	529	0	52.36%	86%
P16390	227	41	528	0	45.08%	86%
P16389	227	41	499	0	67.13%	81%
Q09470	227	41	495	0	44.44%	80%
P09960	228	16	611	1	100	100%
P02768	229	120	609	1	100	100%
P02770	229	120	608	0	73.36%	99%
P02769	229	120	607	0	76.61%	99%
Q86X55	230	1	608	1	100	100%
Q9NUW8	231	10	608	1	100	100%
O43318	232	51	606	1	100	100%
Q16236	233	21	605	1	100	100%
P35354	234	23	604	1	100	100%
P05979	234	23	600	0	59.83%	99%
P23219	234	23	599	0	60.27%	99%
P53350	235	37	603	1	100	100%
Q92630	236	27	601	1	100	100%
P06211	237	39	600	1	100	100%
P03372	237	39	595	0	88.74%	99%
Q92731	237	39	530	0	45.85%	88%
Q9TU15	237	39	527	0	48.39%	87%
Q9Y232	238	8	598	1	100	100%
Q9Y6F8	238	8	540	0	63.70%	90%
Q8N8U2	238	8	506	0	46.44%	84%
P22736	239	10	598	1	100	100%
P43354	239	10	598	0	54.68%	100%
Q9H8M2	240	36	597	1	100	100%
Q06124	241	1	597	1	100	100%
Q15046	242	1	597	1	100	100%
Q9Y616	243	44	596	1	100	100%
P41743	244	5	596	1	100	100%
Q99572	245	36	595	1	100	100%
Q64663	245	36	595	0	80.34%	100%
P51577	245	36	388	0	43.81%	65%
Q8IVW4	246	37	592	1	100	100%
Q92772	246	37	493	0	43.81%	83%
P20309	247	206	590	1	100	100%
P08483	247	206	589	0	91.85%	99%
P11229	247	206	460	0	43.91%	77%
P12657	247	206	460	0	44.13%	77%
P08482	247	206	460	0	44.35%	77%
Q96RR4	248	101	588	1	100	100%
Q8N5S9	248	101	505	0	56.44%	85%
P15311	249	11	586	1	100	100%
Q9UGN5	250	72	583	1	100	100%
O88554	250	72	559	0	82.83%	95%
P29353	251	1	583	1	100	100%
O00519	252	2	579	1	100	100%
P97612	252	2	579	0	82.73%	100%
P32298	253	78	578	1	100	100%
Q15835	253	78	563	0	46.89%	97%
Q8WTQ7	253	78	553	0	46.65%	95%
P12928	254	1	574	1	100	100%
O00311	255	2	574	1	100	100%
Q10471	256	9	571	1	100	100%
Q9BRS2	257	45	568	1	100	100%
P37173	258	30	567	1	100	100%
P54829	259	5	565	1	100	100%
P71716	260	1	565	1	100	100%
P03452	261	2	565	1	100	100%
P23944	262	244	561	1	100	100%
P35368	262	244	520	0	47.88%	92%
P15823	262	244	515	0	48.16%	91%
P43140	262	244	466	0	47.42%	83%
P35348	262	244	466	0	47.64%	83%
P18130	262	244	466	0	46.57%	83%
O00257	263	4	560	1	100	100%
Q13131	264	81	559	1	100	100%
P54646	264	81	552	0	76.45%	98%
O75914	265	95	559	1	100	100%
Q13153	265	95	545	0	78.35%	97%
Q13177	265	95	524	0	63.36%	93%
Q03111	266	2	559	1	100	100%
P17181	267	1	557	1	100	100%
O15530	268	51	556	1	100	100%
Q9BVS4	269	27	552	1	100	100%
P19525	270	50	551	1	100	100%
P00800	271	7	548	1	100	100%
P22307	272	2	547	1	100	100%
Q9UEW8	273	27	545	1	100	100%
O95747	273	27	527	0	62.62%	96%
Q8TD08	274	44	544	1	100	100%
O96017	275	20	543	1	100	100%
Q9Y251	276	8	543	1	100	100%
O00482	277	6	541	1	100	100%
Q13285	277	6	461	0	62.69%	85%
O43353	278	77	540	1	100	100%
Q9Z429	279	7	538	1	100	100%
P42535	280	4	538	1	100	100%
P04062	281	2	536	1	100	100%
Q8TDR2	282	26	534	1	100	100%
O43175	283	15	533	1	100	100%
P28702	284	239	533	1	100	100%
P28704	284	239	520	0	97.12%	97%
P28700	284	239	467	0	71.09%	87%
P48443	284	239	463	0	66.95%	86%
P28705	284	239	463	0	66.95%	86%
P19793	284	239	462	0	72.08%	86%
P24557	285	1	533	1	100	100%
P36894	286	118	532	1	100	100%
Q04771	286	118	509	0	49.51%	95%
P36896	286	118	505	0	49.50%	94%
P37023	286	118	503	0	46.32%	94%
O00238	286	118	502	0	72.51%	94%
Q16572	287	4	532	1	100	100%
Q62666	287	4	530	0	95.09%	99%
Q14781	288	1	532	1	100	100%
Q14451	289	6	532	1	100	100%
P10613	290	8	528	1	100	100%
Q9UBE8	291	40	527	1	100	100%
P62343	292	20	524	1	100	100%
Q00537	293	158	523	1	100	100%
Q00536	293	158	496	0	70.16%	94%
O94921	293	158	469	0	47.33%	89%
Q96Q40	293	158	435	0	44.37%	83%
O43172	294	3	522	1	100	100%
Q9Y4K3	295	4	522	1	100	100%
Q8N884	296	8	522	1	100	100%
P27338	297	5	520	1	100	100%
P07382	298	11	520	1	100	100%
P04818	298	11	313	0	57.19%	60%
O14730	299	41	519	1	100	100%
P51449	300	664	518	1	100	100%
Q9Y572	301	2	518	1	100	100%
Q01827	302	2	515	1	100	100%
Q05940	302	2	514	0	91.44%	99%
Q9BYT3	303	52	514	1	100	100%
P27037	304	39	513	1	100	100%
Q13705	304	39	512	0	67.19%	99%
O00481	305	3	513	1	100	100%
P07948	306	142	512	1	100	100%
Q13882	306	142	451	0	40.13%	88%
P04798	307	3	512	1	100	100%
P48547	308	4	511	1	100	100%
Q86Y07	309	7	508	1	100	100%
Q99986	309	7	396	0	47.22%	77%
P07237	310	1	508	1	100	100%
P42679	311	10	507	1	100	100%
P51956	312	7	506	1	100	100%
P37231	313	91	505	1	100	100%
Q07869	313	91	468	0	56.62%	92%
Q03181	313	91	441	0	58.28%	87%
Q9C0B1	314	1	505	1	100	100%
Q99972	315	12	504	1	100	100%
P08684	316	17	503	1	100	100%
P20815	316	17	502	0	84.26%	99%
Q16850	317	31	503	1	100	100%
Q9BWU1	318	89	502	1	100	100%
P49336	318	89	464	0	79.09%	92%
P36544	319	14	502	1	100	100%
Q05941	319	14	502	0	93.23%	100%
P56817	320	71	501	1	100	100%
P80147	321	2	500	1	100	100%
P53985	322	1	500	1	100	100%
Q99640	323	16	499	1	100	100%
P53041	324	2	499	1	100	100%
P11797	325	1	499	1	100	100%
Q9JI10	326	113	497	1	100	100%
Q13188	326	113	491	0	96.95%	98%
Q13043	326	113	487	0	78.23%	97%
P98170	327	18	497	1	100	100%
Q96BR1	328	15	496	1	100	100%
Q16696	329	22	494	1	100	100%
P05181	329	22	493	0	47.67%	99%
P00176	329	22	491	0	55.60%	99%
P02712	330	3	493	1	100	100%
Q16658	331	1	493	1	100	100%
P11166	332	12	492	1	100	100%
P34903	333	37	492	1	100	100%
P23574	333	37	465	0	44.73%	94%
P31644	333	37	462	0	70.78%	93%
P14867	333	37	456	0	71.71%	92%
Q00987	334	53	491	1	100	100%
P43490	335	23	491	1	100	100%
P10827	336	74	490	1	100	100%
P10828	336	74	461	0	60.95%	94%
O70212	337	80	490	1	100	100%
P23979	337	80	487	0	82.34%	99%
P35563	337	80	483	0	83.02%	98%
P46098	337	80	478	0	87.45%	97%
Q9H3Y6	338	43	488	1	100	100%
Q92769	339	59	488	1	100	100%
Q13547	339	59	482	0	86.31%	98%
O15379	339	59	428	0	58.64%	87%
Q9BY41	339	59	377	0	40.05%	77%
P31389	340	226	488	1	100	100%
P35367	340	226	487	0	72.07%	99%
P31390	340	226	486	0	70.78%	99%
P00742	341	8	488	1	100	100%
P0DM80	342	1	487	1	100	100%
Q86UX6	343	37	486	1	100	100%
Q9NY57	343	37	414	0	65.70%	85%
Q8WU08	343	37	396	0	64.90%	81%
Q96RI1	344	4	486	1	100	100%
P11308	345	2	486	1	100	100%
Q01543	345	2	452	0	47.35%	93%
Q15172	346	2	486	1	100	100%
P49840	347	126	483	1	100	100%
P49841	347	126	420	0	75.24%	86%
Q9WV60	347	126	420	0	74.29%	86%
P34896	348	1	483	1	100	100%
P52209	349	1	483	1	100	100%
P22605	350	268	482	1	100	100%
P10276	350	268	462	0	75.76%	95%
P11416	350	268	462	0	75.54%	95%
P18911	350	268	458	0	72.71%	95%
P10826	350	268	455	0	90.11%	94%
P13631	350	268	454	0	73.57%	94%
Q7Z1V1	351	38	481	1	100	100%
P31751	352	109	481	1	100	100%
P31749	352	109	480	0	81.46%	99%
Q9Y243	352	109	479	0	78.50%	99%
P30994	353	131	479	1	100	100%
P08909	353	131	460	0	41.30%	96%
P28335	353	131	458	0	42.36%	95%
P34969	354	3	479	1	100	100%
P32211	355	117	479	1	100	100%
P08173	355	117	479	0	96.03%	100%
P08485	355	117	477	0	98.74%	99%
P10980	355	117	466	0	61.16%	97%
P08172	355	117	466	0	59.87%	97%
P06199	355	117	466	0	59.87%	97%
P24046	356	2	479	1	100	100%
P28476	356	2	465	0	71.40%	97%
P43144	357	8	479	1	100	100%
P50579	358	2	478	1	100	100%
P08588	359	853	477	1	100	100%
P18090	359	853	466	0	92.70%	97%
P34971	359	853	466	0	92.92%	97%
Q8K4Z4	359	853	418	0	41.87%	87%
Q28044	359	853	418	0	40.43%	87%
P54833	359	853	415	0	40.24%	87%
P07550	359	853	413	0	41.65%	86%
P13945	359	853	408	0	52.21%	85%
P08254	360	25	477	1	100	100%
P39900	360	25	470	0	52.55%	98%
P50549	361	1	477	1	100	100%
O14757	362	34	476	1	100	100%
Q96NX5	363	117	476	1	100	100%
Q8IU85	363	117	385	0	64.16%	80%
Q14012	363	117	370	0	62.16%	77%
Q9BZP6	364	3	476	1	100	100%
Q9UBM7	365	1	475	1	100	100%
Q16566	366	23	473	1	100	100%
Q8IW41	367	6	473	1	100	100%
P47746	368	47	473	1	100	100%
P20272	368	47	473	0	99.79%	100%
P21554	368	47	472	0	97.25%	99%
P34972	368	47	360	0	43.06%	76%
Q3U3Q1	369	34	472	1	100	100%
Q6PHR2	369	34	472	0	94.07%	100%
P28223	370	106	471	1	100	100%
P14842	370	106	471	0	91.30%	100%
P50129	370	106	470	0	96.17%	99%
Q8NB16	371	2	471	1	100	100%
Q92753	372	41	470	1	100	100%
Q9BUB5	373	112	465	1	100	100%
Q9HBH9	373	112	465	0	48.39%	100%
P29371	374	189	465	1	100	100%
P16177	374	189	452	0	86.06%	97%
P30098	374	189	440	0	80.68%	94%
P14600	374	189	407	0	60.69%	87%
P25103	374	189	407	0	60.44%	87%
P30547	374	189	407	0	61.18%	87%
Q64077	374	189	402	0	49.25%	86%
P21452	374	189	398	0	51.26%	85%
P16610	374	189	390	0	49.49%	83%
P79218	374	189	384	0	50.52%	82%
P51144,A0A1U7QMT5	374	189	384	0	50.26%	82%
P35557	375	6	465	1	100	100%
P53779	376	338	464	1	100	100%
P45983	376	338	427	0	90.87%	92%
P45984	376	338	424	0	84.43%	91%
P53778	376	338	367	0	46.59%	79%
O75311	377	2	464	1	100	100%
P53634	378	1	463	1	100	100%
Q05639	379	6	463	1	100	100%
P68104	379	6	462	0	92.42%	99%
Q8TBC4	380	1	463	1	100	100%
Q15465	381	15	462	1	100	100%
Q16602	382	6	461	1	100	100%
Q9NWZ3	383	23	460	1	100	100%
P55055	384	4	460	1	100	100%
Q13133	384	4	447	0	51.01%	97%
Q16790	385	374	459	1	100	100%
Q02790	386	68	459	1	100	100%
Q13451	386	68	457	0	54.70%	99%
P62942	386	68	108	0	49.07%	23%
P62508	387	2	458	1	100	100%
P01730	388	9	458	1	100	100%
Q9H7Z6	389	2	458	1	100	100%
P35790	390	24	457	1	100	100%
Q9Y259	390	24	395	0	49.87%	86%
P37340	391	5	457	1	100	100%
O43293	392	97	454	1	100	100%
Q9UIK4	392	97	370	0	62.43%	81%
Q13418	393	3	452	1	100	100%
P30553	394	64	452	1	100	100%
P32239	394	64	447	0	89.71%	98%
Q63931	394	64	430	0	48.37%	95%
Q93YN9	395	4	451	1	100	100%
P68370	396	28	451	1	100	100%
P02550	396	28	451	0	99.33%	100%
Q9H4B7	396	28	451	0	40.13%	100%
P02554	396	28	445	0	41.12%	98%
P07437	396	28	444	0	41.67%	98%
Q5HIH6	397	1	450	1	100	100%
P18089	398	24	450	1	100	100%
P08913	398	24	450	0	41.33%	100%
Q13163	399	46	448	1	100	100%
Q9Y6M4	400	237	447	1	100	100%
Q9HCP0	400	237	422	0	74.17%	94%
P49674	400	237	416	0	46.88%	93%
P48730	400	237	415	0	46.02%	92%
P78368	400	237	415	0	75.42%	92%
Q8N752	400	237	337	0	49.26%	75%
