id	clstr	clstr_size	length	clstr_rep	clstr_iden	clstr_cov
Q99062	92	2	836	1	100	100%
Q59H18	93	55	835	1	100	100%
Q92918	94	98	833	1	100	100%
Q12851	94	98	820	0	44.15%	98%
P57078	95	20	832	1	100	100%
Q92831	96	14	832	1	100	100%
Q03330	96	14	439	0	41.00%	52%
P11362	97	316	822	1	100	100%
P21802	97	316	821	0	72.23%	99%
P22607	97	316	806	0	64.14%	98%
P22455	97	316	802	0	57.61%	97%
P16591	98	71	822	1	100	100%
P07332	98	71	822	0	51.22%	100%
Q32MK0	99	104	819	1	100	100%
Q9H1R3	99	104	596	0	43.62%	72%
Q86YV6	99	104	388	0	57.99%	47%
Q13164	100	478	816	1	100	100%
Q63844	100	478	380	0	48.95%	46%
P27361	100	478	379	0	47.76%	46%
O15264	100	478	365	0	41.92%	44%
Q15759	100	478	364	0	44.78%	44%
Q16539	100	478	360	0	44.17%	44%
P47811	100	478	360	0	44.17%	44%
P28482	100	478	360	0	49.72%	44%
P63085	100	478	358	0	50.28%	43%
Q9UBF8	101	28	816	1	100	100%
P00747	102	24	810	1	100	100%
P07477	102	24	247	0	42.91%	30%
Q29463	102	24	247	0	41.70%	30%
P00760	102	24	246	0	40.24%	30%
Q08499	103	3	809	1	100	100%
Q07343	103	3	736	0	69.43%	90%
P41148	104	345	804	1	100	100%
Q29092	104	345	804	0	98.38%	100%
P14625	104	345	803	0	98.01%	99%
P07900	104	345	732	0	46.72%	91%
P08238	104	345	724	0	47.93%	90%
P02829	104	345	709	0	49.22%	88%
P0AES6	105	5	804	1	100	100%
O75582	106	110	802	1	100	100%
O75676	106	110	772	0	64.38%	96%
P25440	107	114	801	1	100	100%
Q15059	107	114	726	0	49.45%	90%
Q9NYL2	108	54	800	1	100	100%
Q8TF76	109	1	798	1	100	100%
P04629	110	115	796	1	100	100%
Q9P0L2	111	90	795	1	100	100%
Q7KZI7	111	90	788	0	68.15%	99%
Q96L34	111	90	752	0	53.32%	94%
Q9QYJ6	112	20	794	1	100	100%
Q9Y233	112	20	779	0	94.22%	98%
P42229	113	1	794	1	100	100%
P23921	114	5	792	1	100	100%
P05106	115	1	788	1	100	100%
Q9UQ88	116	285	783	1	100	100%
Q00526	116	285	305	0	45.90%	38%
P11802	116	285	303	0	40.26%	38%
P24941	116	285	298	0	44.63%	38%
P61075	116	285	288	0	43.40%	36%
P06537	117	2	783	1	100	100%
P04150	117	2	777	0	90.09%	99%
P35222	118	1	781	1	100	100%
Q96JM7	119	5	780	1	100	100%
Q8TDC3	120	42	778	1	100	100%
Q8IWQ3	120	42	736	0	59.51%	94%
P15379	121	12	778	1	100	100%
P16070	121	12	742	0	51.75%	95%
Q86UE8	122	43	772	1	100	100%
Q9UKI8	122	43	766	0	65.80%	99%
P05067	123	13	770	1	100	100%
P40763	124	35	770	1	100	100%
P42227	124	35	770	0	99.87%	100%
P42224	124	35	750	0	52.40%	97%
P15056	125	562	766	1	100	100%
P04049	125	562	648	0	56.48%	84%
Q8N568	126	51	766	1	100	100%
O15075	126	51	740	0	69.05%	96%
P27487	127	23	766	1	100	100%
Q8NFD2	128	41	765	1	100	100%
Q9NRH2	129	5	765	1	100	100%
P11387	130	3	765	1	100	100%
Q13627	131	76	763	1	100	100%
Q9Y463	131	76	629	0	62.96%	82%
Q13237	132	16	762	1	100	100%
P03428	133	24	759	1	100	100%
P10636	134	6	758	1	100	100%
O14920	135	28	756	1	100	100%
O15111	135	28	745	0	51.68%	98%
Q04609	136	5	750	1	100	100%
Q96EB6	137	3	747	1	100	100%
Q15910	138	2	746	1	100	100%
P05164	139	4	745	1	100	100%
Q9UK32	140	225	745	1	100	100%
P51812	140	225	740	0	77.57%	99%
Q15418	140	225	735	0	73.61%	98%
Q15349	140	225	733	0	74.35%	98%
P23443	140	225	525	0	40.95%	70%
Q05823	141	2	741	1	100	100%
Q02156	142	69	737	1	100	100%
Q04759	142	69	706	0	40.51%	95%
P24723	142	69	683	0	44.07%	92%
P05771	142	69	671	0	40.09%	91%
P70605	143	36	732	1	100	100%
Q9H2S1	143	36	579	0	70.81%	79%
Q92952	143	36	543	0	66.85%	74%
Q9UHD2	144	60	729	1	100	100%
Q14164	144	60	716	0	49.30%	98%
P9WH75	145	2	725	1	100	100%
P27986	146	3	724	1	100	100%
Q16659	147	36	721	1	100	100%
P31152	147	36	587	0	55.20%	81%
Q9P286	148	85	719	1	100	100%
Q9NQU5	148	85	681	0	42.73%	94%
O96013	148	85	591	0	51.10%	82%
P03433	149	4	716	1	100	100%
P57058	150	16	714	1	100	100%
P51617	151	38	712	1	100	100%
P51574	152	3	710	1	100	100%
Q9JIP7	152	3	709	0	93.37%	99%
P46059	152	3	708	0	83.76%	99%
Q6P3R8	153	23	708	1	100	100%
P14780	154	3	707	1	100	100%
P08253	154	3	660	0	44.85%	93%
P48067	155	31	706	1	100	100%
P28572	155	31	638	0	94.20%	90%
P31652	155	31	630	0	40.32%	89%
P23975	155	31	617	0	41.00%	87%
P41182	156	33	706	1	100	100%
Q12931	157	1	704	1	100	100%
O14640	158	23	695	1	100	100%
P51141	158	23	695	0	94.96%	100%
Q9NVM4	159	1	692	1	100	100%
Q00194	160	14	690	1	100	100%
P25098	161	8	689	1	100	100%
P78362	162	80	688	1	100	100%
Q96SB4	162	80	655	0	41.22%	95%
Q9UPE1	162	80	567	0	42.50%	82%
Q9NYY3	163	36	685	1	100	100%
Q9H4B4	163	36	646	0	43.34%	94%
Q61091	164	1	685	1	100	100%
Q04451	165	1	680	1	100	100%
Q05655	166	36	676	1	100	100%
P28867	166	36	674	0	90.65%	99%
Q05320	167	8	676	1	100	100%
P51813	168	221	675	1	100	100%
Q06187	168	221	659	0	47.19%	97%
P42680	168	221	631	0	40.41%	93%
Q08881	168	221	620	0	42.58%	91%
Q8CFK4	168	221	608	0	40.30%	90%
P42681	168	221	527	0	45.16%	78%
Q9UBU7	169	3	674	1	100	100%
O43524	170	1	673	1	100	100%
P17252	171	4	672	1	100	100%
Q13546	172	38	671	1	100	100%
Q13976	173	74	671	1	100	100%
P51817	173	74	358	0	42.18%	53%
P05132	173	74	351	0	41.88%	52%
P17612	173	74	351	0	41.88%	52%
P22694	173	74	351	0	42.17%	52%
O94925	174	5	669	1	100	100%
O60331	175	47	668	1	100	100%
Q99755	175	47	562	0	63.88%	84%
Q9AIU7	176	3	667	1	100	100%
P15884	177	1	667	1	100	100%
Q13470	178	50	666	1	100	100%
Q13554	179	89	666	1	100	100%
Q13557	179	89	499	0	64.73%	74%
Q9UQM7	179	89	478	0	64.02%	71%
P16050	180	2	662	1	100	100%
O60285	181	84	661	1	100	100%
Q9H093	181	84	628	0	49.04%	95%
P11021	182	52	654	1	100	100%
P19120	182	52	650	0	63.08%	99%
P11142	182	52	646	0	63.78%	98%
Q96IV0	183	1	654	1	100	100%
Q14680	184	40	651	1	100	100%
Q9NPI1	185	19	651	1	100	100%
Q9C098	186	48	648	1	100	100%
Q8NI60	187	51	647	1	100	100%
Q96D53	187	51	544	0	55.51%	84%
P53667	188	54	647	1	100	100%
P53671	188	54	638	0	54.23%	98%
P30291	189	58	646	1	100	100%
P0C1S8	189	58	567	0	45.86%	87%
Q8NG66	190	8	645	1	100	100%
P49761	191	257	638	1	100	100%
P49760	191	257	499	0	59.92%	78%
P49759	191	257	484	0	50.62%	75%
Q9HAZ1	191	257	481	0	54.26%	75%
P9WNS3	192	1	638	1	100	100%
O14744	193	4	637	1	100	100%
P43405	194	52	635	1	100	100%
O42275	195	146	633	1	100	100%
P22303	195	146	614	0	47.72%	96%
P21836	195	146	614	0	48.86%	96%
P37136	195	146	614	0	48.37%	96%
P06276	195	146	602	0	41.36%	95%
P04058	195	146	586	0	54.10%	92%
Q9UPZ9	196	28	632	1	100	100%
P20794	196	28	623	0	57.30%	98%
P31645	197	60	630	1	100	100%
Q01959	197	60	620	0	47.42%	98%
P23977	197	60	619	0	47.01%	98%
P23978	197	60	599	0	41.90%	95%
P30531	197	60	599	0	42.40%	95%
P09483	198	12	630	1	100	100%
P43681	198	12	627	0	84.21%	99%
P12389	198	12	511	0	58.32%	81%
P32297	198	12	505	0	52.08%	80%
P17787	198	12	502	0	46.41%	79%
P12390	198	12	500	0	46.40%	79%
P04757	198	12	499	0	52.51%	79%
Q9BQI3	199	6	630	1	100	100%
Q09013	200	38	629	1	100	100%
Q9RUB5	201	1	629	1	100	100%
Q07071	202	32	627	1	100	100%
Q14397	202	32	625	0	88.64%	99%
Q91X44	202	32	587	0	83.48%	93%
Q15569	203	31	626	1	100	100%
Q99759	204	61	626	1	100	100%
Q9Y2U5	204	61	619	0	66.24%	98%
P9WI81	205	18	626	1	100	100%
O43187	206	1	625	1	100	100%
Q14145	207	31	624	1	100	100%
Q9Z2X8	207	31	624	0	94.07%	100%
P29401	208	39	623	1	100	100%
P00734	209	51	622	1	100	100%
P43403	210	13	619	1	100	100%
Q13490	211	6	618	1	100	100%
Q13489	211	6	604	0	72.85%	97%
Q8NE63	212	40	616	1	100	100%
P27694	213	93	616	1	100	100%
O00255	214	10	615	1	100	100%
P20393	215	1	614	1	100	100%
P22460	216	41	613	1	100	100%
P22001	216	41	575	0	44.00%	93%
P17658	216	41	529	0	52.36%	86%
P16390	216	41	528	0	45.08%	86%
P16389	216	41	499	0	67.13%	81%
Q09470	216	41	495	0	44.44%	80%
P09960	217	16	611	1	100	100%
P02768	218	113	609	1	100	100%
P02770	218	113	608	0	73.36%	99%
P02769	218	113	607	0	76.61%	99%
Q86X55	219	1	608	1	100	100%
Q9NUW8	220	8	608	1	100	100%
O43318	221	47	606	1	100	100%
Q16236	222	21	605	1	100	100%
P35354	223	23	604	1	100	100%
P05979	223	23	600	0	59.83%	99%
P23219	223	23	599	0	60.27%	99%
P53350	224	37	603	1	100	100%
Q92630	225	27	601	1	100	100%
P06211	226	36	600	1	100	100%
P03372	226	36	595	0	88.74%	99%
Q92731	226	36	530	0	45.85%	88%
Q9TU15	226	36	527	0	48.39%	87%
P22736	227	7	598	1	100	100%
P43354	227	7	598	0	54.68%	100%
Q9H8M2	228	36	597	1	100	100%
Q06124	229	1	597	1	100	100%
Q15046	230	1	597	1	100	100%
Q9Y616	231	40	596	1	100	100%
P41743	232	5	596	1	100	100%
Q99572	233	34	595	1	100	100%
Q64663	233	34	595	0	80.34%	100%
P51577	233	34	388	0	43.81%	65%
Q8IVW4	234	36	592	1	100	100%
Q92772	234	36	493	0	43.81%	83%
P20309	235	179	590	1	100	100%
P08483	235	179	589	0	91.85%	99%
P11229	235	179	460	0	43.91%	77%
P12657	235	179	460	0	44.13%	77%
P08482	235	179	460	0	44.35%	77%
Q96RR4	236	89	588	1	100	100%
Q8N5S9	236	89	505	0	56.44%	85%
P15311	237	11	586	1	100	100%
Q9UGN5	238	71	583	1	100	100%
O00519	239	2	579	1	100	100%
P97612	239	2	579	0	82.73%	100%
P32298	240	66	578	1	100	100%
Q15835	240	66	563	0	46.89%	97%
Q8WTQ7	240	66	553	0	46.65%	95%
P12928	241	1	574	1	100	100%
O00311	242	2	574	1	100	100%
Q10471	243	9	571	1	100	100%
Q9BRS2	244	39	568	1	100	100%
P37173	245	30	567	1	100	100%
P54829	246	5	565	1	100	100%
P23944	247	244	561	1	100	100%
P35368	247	244	520	0	47.88%	92%
P15823	247	244	515	0	48.16%	91%
P43140	247	244	466	0	47.42%	83%
P35348	247	244	466	0	47.64%	83%
P18130	247	244	466	0	46.57%	83%
Q13131	248	71	559	1	100	100%
P54646	248	71	552	0	76.45%	98%
O75914	249	81	559	1	100	100%
Q13153	249	81	545	0	78.35%	97%
Q13177	249	81	524	0	63.36%	93%
Q03111	250	2	559	1	100	100%
P17181	251	1	557	1	100	100%
O15530	252	46	556	1	100	100%
Q9BVS4	253	25	552	1	100	100%
P19525	254	45	551	1	100	100%
P00800	255	4	548	1	100	100%
P22307	256	2	547	1	100	100%
Q9UEW8	257	27	545	1	100	100%
O95747	257	27	527	0	62.62%	96%
Q8TD08	258	44	544	1	100	100%
O96017	259	20	543	1	100	100%
Q9Y251	260	8	543	1	100	100%
O00482	261	3	541	1	100	100%
Q13285	261	3	461	0	62.69%	85%
O43353	262	77	540	1	100	100%
Q9Z429	263	7	538	1	100	100%
P42535	264	4	538	1	100	100%
Q8TDR2	265	26	534	1	100	100%
O43175	266	15	533	1	100	100%
P28702	267	239	533	1	100	100%
P28704	267	239	520	0	97.12%	97%
P28700	267	239	467	0	71.09%	87%
P48443	267	239	463	0	66.95%	86%
P28705	267	239	463	0	66.95%	86%
P19793	267	239	462	0	72.08%	86%
P24557	268	1	533	1	100	100%
P36894	269	118	532	1	100	100%
Q04771	269	118	509	0	49.51%	95%
P36896	269	118	505	0	49.50%	94%
P37023	269	118	503	0	46.32%	94%
O00238	269	118	502	0	72.51%	94%
Q16572	270	4	532	1	100	100%
Q62666	270	4	530	0	95.09%	99%
Q14451	271	6	532	1	100	100%
P10613	272	7	528	1	100	100%
Q9UBE8	273	40	527	1	100	100%
P62343	274	19	524	1	100	100%
Q00537	275	154	523	1	100	100%
Q00536	275	154	496	0	70.16%	94%
O94921	275	154	469	0	47.33%	89%
Q96Q40	275	154	435	0	44.37%	83%
O43172	276	2	522	1	100	100%
Q9Y4K3	277	4	522	1	100	100%
Q8N884	278	8	522	1	100	100%
P27338	279	5	520	1	100	100%
P07382	280	11	520	1	100	100%
P04818	280	11	313	0	57.19%	60%
O14730	281	35	519	1	100	100%
P51449	282	599	518	1	100	100%
Q9Y572	283	2	518	1	100	100%
Q01827	284	1	515	1	100	100%
Q9BYT3	285	49	514	1	100	100%
P27037	286	39	513	1	100	100%
Q13705	286	39	512	0	67.19%	99%
O00481	287	3	513	1	100	100%
P07948	288	137	512	1	100	100%
Q13882	288	137	451	0	40.13%	88%
P04798	289	3	512	1	100	100%
P48547	290	4	511	1	100	100%
Q86Y07	291	7	508	1	100	100%
Q99986	291	7	396	0	47.22%	77%
P07237	292	1	508	1	100	100%
P42679	293	10	507	1	100	100%
P51956	294	7	506	1	100	100%
P37231	295	91	505	1	100	100%
Q07869	295	91	468	0	56.62%	92%
Q03181	295	91	441	0	58.28%	87%
Q9C0B1	296	1	505	1	100	100%
Q99972	297	12	504	1	100	100%
P08684	298	15	503	1	100	100%
P20815	298	15	502	0	84.26%	99%
Q16850	299	25	503	1	100	100%
Q9BWU1	300	81	502	1	100	100%
P49336	300	81	464	0	79.09%	92%
P36544	301	14	502	1	100	100%
Q05941	301	14	502	0	93.23%	100%
P56817	302	71	501	1	100	100%
P80147	303	2	500	1	100	100%
P53985	304	1	500	1	100	100%
Q99640	305	16	499	1	100	100%
Q9JI10	306	102	497	1	100	100%
Q13188	306	102	491	0	96.95%	98%
Q13043	306	102	487	0	78.23%	97%
P98170	307	14	497	1	100	100%
Q96BR1	308	14	496	1	100	100%
Q16696	309	22	494	1	100	100%
P05181	309	22	493	0	47.67%	99%
P00176	309	22	491	0	55.60%	99%
P02712	310	3	493	1	100	100%
Q16658	311	1	493	1	100	100%
P34903	312	37	492	1	100	100%
P23574	312	37	465	0	44.73%	94%
P31644	312	37	462	0	70.78%	93%
P14867	312	37	456	0	71.71%	92%
Q00987	313	39	491	1	100	100%
P43490	314	23	491	1	100	100%
P10827	315	74	490	1	100	100%
P10828	315	74	461	0	60.95%	94%
O70212	316	79	490	1	100	100%
P23979	316	79	487	0	82.34%	99%
P35563	316	79	483	0	83.02%	98%
P46098	316	79	478	0	87.45%	97%
Q9H3Y6	317	43	488	1	100	100%
Q92769	318	58	488	1	100	100%
Q13547	318	58	482	0	86.31%	98%
O15379	318	58	428	0	58.64%	87%
Q9BY41	318	58	377	0	40.05%	77%
P31389	319	217	488	1	100	100%
P35367	319	217	487	0	72.07%	99%
P31390	319	217	486	0	70.78%	99%
P00742	320	2	488	1	100	100%
P0DM80	321	1	487	1	100	100%
Q86UX6	322	36	486	1	100	100%
Q9NY57	322	36	414	0	65.70%	85%
Q8WU08	322	36	396	0	64.90%	81%
Q96RI1	323	4	486	1	100	100%
P11308	324	1	486	1	100	100%
Q15172	325	2	486	1	100	100%
P49840	326	118	483	1	100	100%
P49841	326	118	420	0	75.24%	86%
Q9WV60	326	118	420	0	74.29%	86%
P34896	327	1	483	1	100	100%
P52209	328	1	483	1	100	100%
P22605	329	268	482	1	100	100%
P10276	329	268	462	0	75.76%	95%
P11416	329	268	462	0	75.54%	95%
P18911	329	268	458	0	72.71%	95%
P10826	329	268	455	0	90.11%	94%
P13631	329	268	454	0	73.57%	94%
Q7Z1V1	330	36	481	1	100	100%
P31751	331	100	481	1	100	100%
P31749	331	100	480	0	81.46%	99%
Q9Y243	331	100	479	0	78.50%	99%
P30994	332	131	479	1	100	100%
P08909	332	131	460	0	41.30%	96%
P28335	332	131	458	0	42.36%	95%
P34969	333	3	479	1	100	100%
P32211	334	100	479	1	100	100%
P08173	334	100	479	0	96.03%	100%
P08485	334	100	477	0	98.74%	99%
P10980	334	100	466	0	61.16%	97%
P08172	334	100	466	0	59.87%	97%
P06199	334	100	466	0	59.87%	97%
P24046	335	2	479	1	100	100%
P28476	335	2	465	0	71.40%	97%
P43144	336	8	479	1	100	100%
P50579	337	2	478	1	100	100%
P08588	338	752	477	1	100	100%
P18090	338	752	466	0	92.70%	97%
P34971	338	752	466	0	92.92%	97%
Q8K4Z4	338	752	418	0	41.87%	87%
Q28044	338	752	418	0	40.43%	87%
P54833	338	752	415	0	40.24%	87%
P07550	338	752	413	0	41.65%	86%
P13945	338	752	408	0	52.21%	85%
P08254	339	25	477	1	100	100%
P39900	339	25	470	0	52.55%	98%
P50549	340	1	477	1	100	100%
O14757	341	29	476	1	100	100%
Q96NX5	342	102	476	1	100	100%
Q8IU85	342	102	385	0	64.16%	80%
Q14012	342	102	370	0	62.16%	77%
Q9BZP6	343	3	476	1	100	100%
Q9UBM7	344	1	475	1	100	100%
Q16566	345	23	473	1	100	100%
Q8IW41	346	6	473	1	100	100%
P47746	347	47	473	1	100	100%
P20272	347	47	473	0	99.79%	100%
P21554	347	47	472	0	97.25%	99%
P34972	347	47	360	0	43.06%	76%
Q3U3Q1	348	32	472	1	100	100%
Q6PHR2	348	32	472	0	94.07%	100%
P28223	349	106	471	1	100	100%
P14842	349	106	471	0	91.30%	100%
P50129	349	106	470	0	96.17%	99%
Q8NB16	350	2	471	1	100	100%
Q92753	351	32	470	1	100	100%
Q9BUB5	352	108	465	1	100	100%
Q9HBH9	352	108	465	0	48.39%	100%
P29371	353	138	465	1	100	100%
P16177	353	138	452	0	86.06%	97%
P30098	353	138	440	0	80.68%	94%
P14600	353	138	407	0	60.69%	87%
P25103	353	138	407	0	60.44%	87%
P30547	353	138	407	0	61.18%	87%
Q64077	353	138	402	0	49.25%	86%
P21452	353	138	398	0	51.26%	85%
P16610	353	138	390	0	49.49%	83%
P79218	353	138	384	0	50.52%	82%
P35557	354	6	465	1	100	100%
P53779	355	329	464	1	100	100%
P45983	355	329	427	0	90.87%	92%
P45984	355	329	424	0	84.43%	91%
P53778	355	329	367	0	46.59%	79%
O75311	356	2	464	1	100	100%
P53634	357	1	463	1	100	100%
Q05639	358	2	463	1	100	100%
P68104	358	2	462	0	92.42%	99%
Q8TBC4	359	1	463	1	100	100%
Q15465	360	15	462	1	100	100%
Q16602	361	1	461	1	100	100%
Q9NWZ3	362	22	460	1	100	100%
P55055	363	4	460	1	100	100%
Q13133	363	4	447	0	51.01%	97%
Q16790	364	374	459	1	100	100%
Q02790	365	49	459	1	100	100%
Q13451	365	49	457	0	54.70%	99%
P62942	365	49	108	0	49.07%	23%
P62508	366	2	458	1	100	100%
Q9H7Z6	367	2	458	1	100	100%
P35790	368	24	457	1	100	100%
Q9Y259	368	24	395	0	49.87%	86%
P37340	369	5	457	1	100	100%
O43293	370	89	454	1	100	100%
Q9UIK4	370	89	370	0	62.43%	81%
Q13418	371	3	452	1	100	100%
P30553	372	58	452	1	100	100%
P32239	372	58	447	0	89.71%	98%
P68370	373	24	451	1	100	100%
P02550	373	24	451	0	99.33%	100%
Q9H4B7	373	24	451	0	40.13%	100%
P02554	373	24	445	0	41.12%	98%
Q5HIH6	374	1	450	1	100	100%
P18089	375	23	450	1	100	100%
P08913	375	23	450	0	41.33%	100%
Q13163	376	45	448	1	100	100%
Q9Y6M4	377	235	447	1	100	100%
Q9HCP0	377	235	422	0	74.17%	94%
P49674	377	235	416	0	46.88%	93%
P48730	377	235	415	0	46.02%	92%
P78368	377	235	415	0	75.42%	92%
Q8N752	377	235	337	0	49.26%	75%
P48729	377	235	337	0	50.15%	75%
P21728	378	18	446	1	100	100%
P18901	378	18	446	0	90.13%	100%
P19020	379	145	446	1	100	100%
P61169	379	145	444	0	51.58%	99%
P20288	379	145	444	0	51.35%	99%
P14416	379	145	443	0	51.02%	99%
P35462	379	145	400	0	61.25%	89%
P51955	380	35	445	1	100	100%
P56545	381	5	445	1	100	100%
Q13363	381	5	440	0	78.64%	98%
P58406	382	282	445	1	100	100%
Q9Y5N1	382	282	445	0	94.38%	100%
Q9QYN8	382	282	445	0	98.88%	100%
Q9JI35	382	282	445	0	95.51%	100%
O43614	383	304	444	1	100	100%
O43613	383	304	425	0	67.29%	95%
P34998	384	8	444	1	100	100%
Q9Y6E0	385	103	443	1	100	100%
O00506	385	103	426	0	72.77%	96%
Q9P289	385	103	416	0	72.12%	93%
Q96SW2	386	1	442	1	100	100%
O23920	387	1	442	1	100	100%
O75530	388	38	441	1	100	100%
Q13093	389	4	441	1	100	100%
P01106	390	2	439	1	100	100%
P14900	391	9	438	1	100	100%
Q8IY84	392	16	436	1	100	100%
Q15118	393	55	436	1	100	100%
Q16654	393	55	411	0	64.72%	94%
Q15119	393	55	407	0	68.06%	93%
Q15120	393	55	406	0	67.24%	93%
P18031	394	12	435	1	100	100%
P9WPL0	395	6	434	1	100	100%
Q15561	396	4	434	1	100	100%
Q873X9	397	1	433	1	100	100%
Q15831	398	25	433	1	100	100%
