CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O	CHEMBL628
CC(C)c1cc(Oc2c(I)cc(Cc3[nH]c(=O)[nH]c3O)cc2I)ccc1O	CHEMBL263630
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(O)=O	CHEMBL1544
CCSCC1NC(C(O)C1O)c1c[nH]c2c(N)ncnc12	CHEMBL554965
Nc1ncnc2c(c[nH]c12)C1NC(CSCc2ccccc2)C(O)C1O	CHEMBL554642
Nc1ncnc2c(CN3CC(O)C(CSCc4ccccc4)C3)c[nH]c12	CHEMBL191436
Nc1ncnc2c(c[nH]c12)C1NC(CSc2ccc(Cl)cc2)C(O)C1O	CHEMBL552894
Fc1ccc(cc1)-c1ncn(C2CCNCC2)c1-c1ccncc1	CHEMBL279416
C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O	CHEMBL38
Cc1cc2c(cc1C(=C)c1ccc(cc1)C(O)=O)C(C)(C)CCC2(C)C	CHEMBL1023
CC(C)c1cc(Cc2c(C)cc(OCC(O)=O)cc2C)ccc1O	CHEMBL107400
CC(C)c1cc(Oc2c(C)cc(C[C@H](N)C(O)=O)cc2C)ccc1O	CHEMBL105983
C[C@@H]1CCN(C[C@@H]1N(C)c1ncnc2[nH]ccc12)C(=O)CC#N	CHEMBL221959
Oc1cccc(c1)-c1nc(N2CCOCC2)c2oc3ncccc3c2n1	CHEMBL538346
CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1	CHEMBL554
NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccc2OCOc2c1)-c1ccccn1	CHEMBL440084
OC(=O)[C@H](Cc1ccccc1)N1C(=S)S\C(=C/c2ccc(Br)cc2)C1=O	CHEMBL243190
CC(=O)N1CCN(CC1)c1ccc(OC[C@H]2CO[C@@](Cn3ccnc3)(O2)c2ccc(Cl)cc2Cl)cc1	CHEMBL75
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F	CHEMBL106
Clc1ccc(cc1)-c1ccc(cc1)C(=O)NCC(c1ccccc1)n1ccnc1	CHEMBL253613
CCOc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)N1CCC(O)CC1	CHEMBL1673046
COc1cc(ccc1Nc1ncc2NC(=O)c3ccccc3N(C)c2n1)N1CCN(C)CC1	CHEMBL1672987
Cc1cc(nc(N)n1)C(F)(F)F	CHEMBL504181
O=C1OCCC1=CNc1ccccc1	CHEMBL486921
CC(C)=CC[C@@H](C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)C1=O)C2=O)C(C)=C	CHEMBL502489
OC(=O)c1cc2c(cc(cc2n1O)-c1ccccc1)C(F)(F)F	CHEMBL1688790
OC(=O)c1ccc2ccccc2c1O	CHEMBL229299
c1ccc2[nH]c(nc2c1)-c1cccnc1	CHEMBL83103
OC[C@@H](O)[C@@H](CO)NCc1c[nH]c2c1nc[nH]c2=O	CHEMBL475537
OCCN(Cc1c[nH]c2c1nc[nH]c2=O)C(CO)CO	CHEMBL508929
CCCC(=O)Nc1cc([nH]n1)C1CC1	CHEMBL112442
Cc1cc(NC(=O)c2ccc(Br)cc2)[nH]n1	CHEMBL323594
FC(F)(F)Oc1ccc(CC(=O)Nc2cc(n[nH]2)C2CC2)cc1	CHEMBL115994
NC(=O)c1ccc(cc1)C(=O)Nc1cc(n[nH]1)C1CC1	CHEMBL325606
COc1cc(OC)c(cc1NC(C)=O)S(=O)(=O)N(C)c1ccccc1	CHEMBL1951164
OC(=O)CCCCCCCn1ccnc1	CHEMBL542051
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1	CHEMBL104
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1	CHEMBL91
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F	CHEMBL638
CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OC[C@H]3CO[C@@](Cn4cncn4)(O3)c3ccc(Cl)cc3Cl)cc2)c1=O	CHEMBL22587
c1nc(c[nH]1)-c1ccccc1	CHEMBL14145
NCc1ccccc1	CHEMBL522
CC(C)NCC(O)c1ccc(O)c(O)c1	CHEMBL434
CC(C)NCC(=O)c1ccc(O)c(O)c1	CHEMBL598662
CC(C)NCC(O)c1cc(O)cc(O)c1	CHEMBL776
c1cc2ccccc2[nH]1	CHEMBL15844
Cc1ccc2[nH]cc(CCN)c2c1	CHEMBL331241
O=C1C=CC(=O)C=C1	CHEMBL8320
O=C1C=CC(=O)c2ccccc12	CHEMBL55934
CSc1ccc(Nc2nc3cc(ccc3n2Cc2ccccc2C(F)(F)F)C(N)=O)cc1	CHEMBL561696
CS(=O)(=O)c1ccc(Nc2nc3cc(ccc3n2Cc2ccccc2C(F)(F)F)C(N)=O)cc1	CHEMBL565195
NC(=O)c1ccc2n(Cc3ccccc3C(F)(F)F)c(Nc3ccc(cc3)S(N)(=O)=O)nc2c1	CHEMBL563643
COc1ccc(Nc2nc3cc(ccc3n2Cc2ccccc2C(F)(F)F)C(O)=O)cc1	CHEMBL563846
CC(=O)OCC[N+](C)(C)C	CHEMBL667
Clc1ccc(cn1)[C@H]1C[C@@H]2CC[C@H]1N2	CHEMBL298826
CN(C)CCc1cccnc1	CHEMBL142049
Nc1nc2ccccc2s1	CHEMBL329785
Oc1cccc2ccccc12	CHEMBL122617
Oc1ccc2ccccc2c1	CHEMBL14126
CC1C(=O)S[C@](C)(\C=C(/C)C=C)C1=O	CHEMBL399043
OC(=O)CNCP(O)(O)=O	CHEMBL95764
O=C1N(Cc2cccc3[nH]ccc23)CCCC11CCN(CC1)c1cnc2ccccc2n1	CHEMBL2435408
CCC\C=C\C=C\C(=O)O[C@H]1\C(C[C@H]2C[C@@H](OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@@H]4C\C(C[C@@H](O4)\C=C\C(C)(C)[C@]1(O)O2)=C\C(=O)OC)O3)[C@@H](C)O)=C\C(=O)OC	CHEMBL449158
CC(C=CC(=O)NO)C=C(C)C(=O)c1ccc(cc1)N(C)C	CHEMBL99
ONC(=O)CCCCCCC(=O)Nc1ccccc1	CHEMBL98
OCCNCc1c[nH]c2c1nc[nH]c2=O	CHEMBL490284
OCCCCNCc1c[nH]c2c1nc[nH]c2=O	CHEMBL449072
OCC(CO)CNCc1c[nH]c2c1nc[nH]c2=O	CHEMBL490081
CN(CC(CO)CO)Cc1c[nH]c2c1nc[nH]c2=O	CHEMBL490282
OCC(CO)(CO)NCc1c[nH]c2c1nc[nH]c2=O	CHEMBL523107
OC[C@H](O)CNCc1c[nH]c2c1nc[nH]c2=O	CHEMBL524489
OCCN(C[C@@H](O)CO)Cc1c[nH]c2c1nc[nH]c2=O	CHEMBL490478
OC[C@@H](O)CNCc1c[nH]c2c1nc[nH]c2=O	CHEMBL490283
OCCN(C[C@H](O)CO)Cc1c[nH]c2c1nc[nH]c2=O	CHEMBL445029
OC[C@@H](O)[C@H](CO)NCc1c[nH]c2c1nc[nH]c2=O	CHEMBL490285
OC[C@H](O)[C@@H](CO)NCc1c[nH]c2c1nc[nH]c2=O	CHEMBL522278
OC[C@H](O)[C@H](CO)NCc1c[nH]c2c1nc[nH]c2=O	CHEMBL522099
OC[C@@H](O)[C@@H](O)CNCc1c[nH]c2c1nc[nH]c2=O	CHEMBL502217
CN(CC(O)CCO)Cc1c[nH]c2c1nc[nH]c2=O	CHEMBL453099
OCC(O)C(CO)CNCc1c[nH]c2c1nc[nH]c2=O	CHEMBL508694
OCC(CO)N[C@H](CO)c1c[nH]c2c1nc[nH]c2=O	CHEMBL522757
Cc1c(Cc2cnc(C)nc2N)csc1CCO	CHEMBL401772
CN(C)c1ccc(Oc2cc(O)cc(O)c2-c2cc(no2)C(=O)NC2CCN(C)CC2)cc1	CHEMBL2443138
CN1CCC(CC1)NC(=O)c1cc(on1)-c1c(O)cc(O)cc1Oc1ccc(cc1)[N+]([O-])=O	CHEMBL2443044
CN(C)c1ccc(Oc2cc(O)cc(O)c2-c2cc(no2)C(=O)NC2CCN(CC2)C2CCC3(CC2)OCCO3)cc1	CHEMBL2443026
CC(C)Nc1ccc(Oc2cc(O)cc(O)c2-c2cc(no2)C(=O)NC2CCN(C)CC2)cc1	CHEMBL2443139
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	CHEMBL177820
Brc1c(Br)c(Br)c2[nH]cnc2c1Br	CHEMBL373937
CN(C)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1	CHEMBL376505
Cc1cc(N)nc(CCc2cncc(CCc3cc(C)nc(N)c3)c2)c1	CHEMBL1615289
Cc1cc(N)nc(CCc2cncc(CCc3cc(C)cc(N)n3)c2)c1	CHEMBL1615288
Cc1cc(N)nc(CCc2cc(CCc3cc(C)cc(N)n3)cc(c2)C#N)c1	CHEMBL2326361
Cc1cc(N)nc(CCc2ccc(CCCN)c(CCc3cc(C)cc(N)n3)c2)c1	CHEMBL2326359
Cc1cc(N)nc(COc2cccc(CNCCc3cccc(F)c3)c2)c1	CHEMBL2414435
Cc1cc(N)nc(COc2cncc(CNCCc3cccc(F)c3)c2)c1	CHEMBL2414437
Cc1cc(N)nc(COC[C@H](CN)OCc2cc(C)cc(N)n2)c1	CHEMBL2430143
Cc1cc(N)nc(COCC[C@@H](CN)OCc2cc(C)cc(N)n2)c1	CHEMBL2430148
Cc1cc(N)nc(CCc2cccc(c2)[C@H](N)Cc2cc(C)cc(N)n2)c1	CHEMBL3262018
CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(Cl)cc1	CHEMBL672
CC(C)(Sc1ccc(CCN(CCCCC2CCCCC2)C(=O)NC2CCCCC2)cc1)C(O)=O	CHEMBL21241
CCCc1c(O)c(ccc1OCCCOc1ccc(OCC(O)=O)cc1)C(C)=O	CHEMBL153057
CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)C1CCCC1	CHEMBL183
C[C@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1	CHEMBL388570
C[C@@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1	CHEMBL229476
C[C@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1	CHEMBL229477
C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1	CHEMBL389390
COc1ccc(C[C@@H](C)NC[C@H](O)c2cc(O)cc(O)c2)cc1	CHEMBL228992
COc1ccc(C[C@H](C)NC[C@H](O)c2cc(O)cc(O)c2)cc1	CHEMBL228996
C[C@H](Cc1ccccc1)NC[C@H](O)c1cc(O)cc(O)c1	CHEMBL389629
C[C@@H](Cc1ccccc1)NC[C@H](O)c1cc(O)cc(O)c1	CHEMBL229388
C[C@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1	CHEMBL387825
C[C@@H](Cc1ccccc1)NC[C@@H](O)c1cc(O)cc(O)c1	CHEMBL229390
C[C@H](Cc1cccc2ccccc12)NC[C@H](O)c1cc(O)cc(O)c1	CHEMBL229401
C[C@@H](Cc1cccc2ccccc12)NC[C@H](O)c1cc(O)cc(O)c1	CHEMBL229614
C[C@H](Cc1cccc2ccccc12)NC[C@@H](O)c1cc(O)cc(O)c1	CHEMBL388177
C[C@@H](Cc1cccc2ccccc12)NC[C@@H](O)c1cc(O)cc(O)c1	CHEMBL389519
O[C@@H](CNCCc1ccccc1)c1cc(O)cc(O)c1	CHEMBL229620
O[C@H](CNCCc1ccccc1)c1cc(O)cc(O)c1	CHEMBL389902
COc1cc(ccc1Nc1ncc2N(C)C(=O)CCN(C3CCCC3)c2n1)C(=O)NC1CCN(C)CC1	CHEMBL2392552
COc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)N1CCN(C)CC1	CHEMBL1673039
COc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)N1CCC(O)CC1	CHEMBL1673040
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1	CHEMBL27759
Nc1ccc(cc1NC(=O)c1ccc(nc1)N1CCC2(CNC2=O)CC1)-c1cccs1	CHEMBL470791
COc1cc2CCN3CC(CC(C)C)C(=O)CC3c2cc1OC	CHEMBL117785
CCCCCCC(C)(C)c1ccc([C@@H]2C[C@H](O)CC[C@H]2CCCO)c(O)c1	CHEMBL48552
Cc1c(nn(c1-c1ccc(Cl)cc1)-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1	CHEMBL558598CHEMBL111
CO[C@]12CC[C@@]3(C[C@@H]1C(C)(C)O)[C@H]1Cc4ccc(O)c5O[C@@H]2[C@]3(CCN1CC1CC1)c45	CHEMBL281786
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O	CHEMBL15594
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1	CHEMBL6
Cc1ccc(cc1)-c1cc(nn1-c1ccc(cc1)S(N)(=O)=O)C(F)(F)F	CHEMBL118
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O	CHEMBL135
CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(=O)NCCO	CHEMBL15848
NC(=O)[C@@H]1C[C@]2(NC(=O)NC2=O)c2cc(F)ccc2O1	CHEMBL84446
OC(=O)COc1cc(Cl)ccc1C(=O)NCc1cccc(c1)[N+]([O-])=O	CHEMBL241577
OC(=O)Cn1c2ccccc2c2nnc(S)nc12	CHEMBL1405739
NS(=O)(=O)c1ccc(cc1)C(=O)Cn1cnc2ccccc12	CHEMBL3797385
NS(=O)(=O)c1ccc(cc1Cl)C(=O)Cn1cnc2ccccc12	CHEMBL3798446
NS(=O)(=O)c1cccc(c1)C(=O)Cn1cnc2ccccc12	CHEMBL3799296
NS(=O)(=O)c1cc(ccc1Cl)C(=O)Cn1cnc2ccccc12	CHEMBL1272187
Cc1nc2ccccc2n1CC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O	CHEMBL1272188
NS(=O)(=O)c1cc(ccc1Cl)C(=O)Cn1c(CO)nc2ccccc12	CHEMBL1272189
NS(=O)(=O)c1cc(ccc1Cl)C(=O)Cn1c(Cc2ccccc2)nc2ccccc12	CHEMBL1272242
CCc1nc2ccccc2n1CC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O	CHEMBL1272243
CCCc1nc2ccccc2n1CC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O	CHEMBL1272297
CCCCc1nc2ccccc2n1CC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O	CHEMBL1272298
CC(C)c1nc2ccccc2n1CC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O	CHEMBL1271477
CC(C)Cc1nc2ccccc2n1CC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O	CHEMBL1271478
CSc1nc2ccccc2n1CC(=O)c1ccc(Cl)c(c1)S(N)(=O)=O	CHEMBL1271530
CCOc1ccc2nc(sc2c1)S(N)(=O)=O	CHEMBL18
CC(=O)Nc1nnc(s1)S(N)(=O)=O	CHEMBL20
O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1	CHEMBL1078178
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@H](C)COC)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C	CHEMBL3344494
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@H](C)CN2CCOCC2)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C	CHEMBL3344495
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@H](C)CN2CC3CCC(C2)O3)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C	CHEMBL3344498
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@H](C)CN2CCC(F)(F)C2)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C	CHEMBL3344497
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@H](C)CN2CCCOCC2)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C	CHEMBL3344496
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@H](C)CN(C)CCOC)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C	CHEMBL3344500
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@H](C)CN2CCC(CC2)C#N)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C	CHEMBL3344499
CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H]([C@H](C)CC#N)N(C)C(=O)[C@@H](C)N(C)C1=O)C(C)C	CHEMBL3344493
